catégorie	propriété CSS	valeur
Typographie	font-family	'Clint Marker'
Divers	src	url('/fonts/ClintMarker.woff2') format('woff2'), url('/fonts/ClintMarker.woff') format('woff'), url('/fonts/ClintMarker.ttf') format('truetype')
Typographie	font-weight	normal
Typographie	font-style	normal
Typographie	font-display	swap
Typographie	font-family	'Outfit'
Divers	src	url('/fonts/Outfit-Regular.woff2') format('woff2'), url('/fonts/Outfit-Regular.woff') format('woff'), url('/fonts/Outfit-Regular.ttf') format('truetype')
Typographie	font-weight	400
Typographie	font-style	normal
Typographie	font-display	swap
Typographie	font-family	'Outfit'
Divers	src	url('/fonts/Outfit-SemiBold.woff2') format('woff2'), url('/fonts/Outfit-SemiBold.woff') format('woff'), url('/fonts/Outfit-SemiBold.ttf') format('truetype')
Typographie	font-weight	600
Typographie	font-style	normal
Typographie	font-display	swap
Typographie	font-family	'Outfit'
Divers	src	url('/fonts/Outfit-Bold.woff2') format('woff2'), url('/fonts/Outfit-Bold.woff') format('woff'), url('/fonts/Outfit-Bold.ttf') format('truetype')
Typographie	font-weight	700
Typographie	font-style	normal
Typographie	font-display	swap
Typographie	font-size	clamp(1rem, 0.25rem + 0.8vw, 3rem) !important
Variables CSS	--CouleurClaire	#E7F6FF
Variables CSS	--Noir	#171717
Variables CSS	--Blanc	#ffffff
Variables CSS	--Transparent	transparent
Variables CSS	--background	var(--Blanc)
Variables CSS	--foreground	var(--Noir)
Variables CSS	--BleuFonce	var(--CouleurFoncé)
Variables CSS	--BleuClair	var(--CouleurClaire)
Variables CSS	--largeurDeTexteMax	78.125rem
Autre	color-scheme	light
Variables CSS	--enorme	2rem
Variables CSS	--grande	1.5rem
Variables CSS	--moyenne	1.25rem
Variables CSS	--normale	1rem
Variables CSS	--petite	0.875rem
Autre	-font-size	var(--grande)
Autre	-font-weight	700
Autre	-color	var(--Noir)
Autre	-line-height	1.2
Autre	-font-size	var(--moyenne)
Autre	-font-weight	700
Autre	-color	var(--Noir)
Autre	-line-height	1.3
Autre	-font-size	var(--normale)
Autre	-font-weight	700
Autre	-color	var(--Noir)
Autre	-line-height	1.4
Autre	-font-size	var(--petite)
Autre	-font-weight	700
Autre	-color	var(--Noir)
Autre	-line-height	1.4
Variables CSS	--p-font-size	var(--normale)
Variables CSS	--p-font-weight	400
Variables CSS	--p-color	var(--Noir)
Variables CSS	--p-line-height	1.4
Variables CSS	--a-font-size	var(--normale)
Variables CSS	--a-font-weight	400
Variables CSS	--a-font-style	italic
Variables CSS	--a-color	var(--Noir)
Variables CSS	--n-font-size	var(--petite)
Variables CSS	--n-font-weight	400
Variables CSS	--n-color	var(--Noir)
Variables CSS	--n-line-height	1.3
Autre	-font-size	var(--normale)
Autre	-color	var(--Noir)
Autre	-line-height	1.3
Autre	-font-size	var(--petite)
Autre	-color	var(--Noir)
Variables CSS	--lk-font-size	var(--normale)
Variables CSS	--lk-font-weight	600
Variables CSS	--lk-color	var(--CouleurFoncé)
Variables CSS	--lk-text-decoration	underline
Variables CSS	--b-font-size	var(--normale)
Variables CSS	--b-font-weight	600
Variables CSS	--b-background	var(--CouleurFoncé)
Variables CSS	--b-color	var(--Blanc)
Variables CSS	--BoutonCouleur	var(--Blanc)
Variables CSS	--BoutonCouleurFond	var(--CouleurFoncé)
Variables CSS	--BoutonCouleurFondHover	#005A9E
Variables CSS	--BoutonCouleurTexteHover	var(--BoutonCouleur)
Variables CSS	--BoutonPolice	'Outfit', sans-serif
Variables CSS	--BoutonTaillePolice	var(--normale)
Variables CSS	--BoutonPoidsPolice	600
Variables CSS	--BoutonContour	none
Variables CSS	--BoutonContourRadius	0.375rem
Variables CSS	--BoutonTransition	all 0.3s cubic-bezier(0.4, 0, 0.2, 1)
Variables CSS	--BoutonOmbre	0 0.125rem 0.25rem rgba(0, 112, 192, 0.15)
Variables CSS	--BoutonOmbreHover	0 0.25rem 0.75rem rgba(0, 112, 192, 0.25)
Variables CSS	--BoutonTransformHover	translateY(-1px)
Variables CSS	--BoutonPaddingVertical	0.75rem
Variables CSS	--BoutonPaddingHorizontal	1.5rem
Variables CSS	--color-text-default	var(--Noir)
Variables CSS	--couleur-alerte	#dc2626
Variables CSS	--couleur-alerte-fond	#ffffff
Variables CSS	--color-background	var(--background)
Variables CSS	--color-foreground	var(--foreground)
Variables CSS	--font-sans	'Outfit', sans-serif
Variables CSS	--font-serif	'Outfit', sans-serif
Variables CSS	--font-mono	'Courier New', monospace
Couleur et fond	background	var(--background)
Couleur et fond	color	var(--foreground)
Typographie	font-family	'Outfit', -apple-system, BlinkMacSystemFont, 'Segoe UI', sans-serif
Typographie	font-size	1rem
Boîte	box-sizing	border-box
Boîte	padding	0
Boîte	margin	0
Disposition	max-width	100vw
Disposition	overflow-x	hidden
Boîte	padding-top	max(80px, 8.75vh)
Boîte	padding-bottom	max(60px, 6.5vh)
Disposition	min-height	100vh
Disposition	width	100%
Disposition	min-aspect-ratio	1) { .main { max-width: min(100vw, calc(100vh * 16 / 9))
Boîte	margin-left	auto
Boîte	margin-right	auto
Boîte	box-sizing	border-box
Typographie	font-family	var(--font-sans)
Typographie	font-size	var(--b-font-size)
Typographie	font-weight	var(--b-font-weight)
Boîte	padding	0.75rem 1.5rem
Animation et transition	transition	all 0.3s cubic-bezier(0.4, 0, 0.2, 1)
Typographie	letter-spacing	0.01em
Typographie	line-height	1.4
Divers	cursor	pointer
Typographie	text-decoration	none
Disposition	display	inline-block
Typographie	text-align	center
Couleur et fond	background-color	var(--BleuFonce)
Couleur et fond	color	var(--Blanc)
Boîte	border	0.125rem solid var(--BleuFonce)
Boîte	border-radius	0
Effets visuels	box-shadow	none
Autre	bouton	hover { } .domaineDeCompetence .bouton { } .domaineDeCompetence .bouton:hover { } .callToAction.action { width: 30%
Disposition	max-width	43.75rem
Autre	action	hover { } .listeDesPages .bouton { width: 100%
Disposition	height	5rem
