Chemin vers le fichier CSS	Nom du style	TypeDeContenu	Composant	Niveau de titre	Type standard HTML	Nom de la police de caractère	Taille de la police de caractère	Gras : oui / non	Italique : oui / non	Couleur
app/content-styles.css	.groupeBoutons.taillePetite .bouton	groupeDeBoutons	GroupeBoutons	-	Bouton			non	non	transparent
app/content-styles.css	.groupeBoutons.taillePetite .bouton:hover	groupeDeBoutons	GroupeBoutons	-	Bouton			non	non	transparent
app/content-styles.css	.bouton:hover	bouton (partagé)	plusieurs	-	Bouton			non	non	var(--BleuClair)
app/content-styles.css	.bouton:active	bouton (partagé)	plusieurs	-	Bouton			non	non	var(--BleuFonce)
app/content-styles.css	.titre		-	-	Titre			non	non	var(--BleuClair)
app/content-styles.css	.titre.texte	titre	Titre	-	Normal (paragraphe)	var(--font-sans)	1rem	oui	non	var(--BleuFonce)
app/content-styles.css	.titre.texte	titre	Titre	-	Normal (paragraphe)		1rem	non	non	
app/content-styles.css	.video.light		-	-	-			non	non	var(--BleuClair)
app/content-styles.css	.video h2	video	Video	H2	Titre	var(--font-sans)	1.125rem	oui	non	rgba(9, 23, 71, 1)
app/content-styles.css	.video h2	video	Video	H2	Titre		1.5rem	non	non	
app/content-styles.css	.texteLarge.texte p	texteLarge	TexteLarge	-	Normal (paragraphe)	var(--font-serif)	1.05625rem	non	non	rgba(9, 23, 71, 1)
app/content-styles.css	.domaineDeCompetence.light	domaineDeCompetence	DomaineDeCompetences	-	-			non	non	var(--BleuClair)
app/content-styles.css	.domaineDeCompetence .header	domaineDeCompetence	DomaineDeCompetences	-	-		0.9375rem	non	non	
app/content-styles.css	.domaineDeCompetence.titre	domaineDeCompetence	DomaineDeCompetences	-	Titre	var(--font-sans)	1.25rem	oui	non	var(--color-text-default)
app/content-styles.css	.domaineDeCompetence.light .domaineDeCompetence.titre	domaineDeCompetence	DomaineDeCompetences	-	Titre			non	non	var(--BleuClair)
app/content-styles.css	.domaineDeCompetence.contenu	domaineDeCompetence	DomaineDeCompetences	-	Normal (paragraphe)	var(--font-serif)	inherit	non	non	var(--color-text-default)
app/content-styles.css	.domaineDeCompetence.auteur	domaineDeCompetence	DomaineDeCompetences	-	Normal (paragraphe)	var(--font-serif)	inherit	non	oui	var(--color-text-default)
app/content-styles.css	.competence.titre	domaineDeCompetence	DomaineDeCompetences	-	Titre	var(--font-sans)	1rem	oui	non	var(--BleuFonce)
